Sample_name,PC 1,PC 2,PC 3,PC 4,PC 5,PC 6,PC 7,PC 8,PC 9,PC 10,PC 11,PC 12,PC 13,PC 14,PC 15
LM_1575,0.057250005313817395,0.02444699646352735,-0.030684441220539503,0.00826895489107421,0.010474615177623414,0.023163708847404096,-0.04076760392154133,-0.008980418744270219,-0.003701530074418452,0.0020781876311480596,0.004242072409565589,0.005473010477781121,-0.018171883224979965,-0.0024529625848578596,-0.048639720571013886
LM_1601,0.0232628548604834,-0.04800908185700433,-0.013929283246457771,0.01675982599315208,0.04763759525495135,0.01190316095770497,0.002395385325130832,-0.02785322779399639,-0.004539992775267024,0.02063273372810969,-0.016988289750704287,0.010611244452415937,-0.005767027834705785,-0.016791605006312486,-0.04863972057101386
LM_2270,-0.0032445610698820255,0.02893468275792741,0.03306084008153354,0.011437928804254371,0.02365565269981891,0.014562138924843843,-0.03167746744214282,-0.05611319635518282,-0.003001083461286927,0.016405040492844553,-0.011581914853573239,-0.016254308215821994,-0.0005832085917989727,-0.002012726039109798,-0.048639720571013845
LM_2274,0.07331336874276094,0.019700884333075097,-0.0025402527002600095,-0.014850787696846002,0.013686354243381181,0.01967089444000345,0.00478952994387738,-0.0012273555521508661,0.0037188444661008235,0.004906480985160472,-0.02362958546318819,-0.018483706702970573,0.010688687272362461,-0.005951229570351407,-0.04863972057101391
LM_2294,0.020073277668318512,-0.06174649324899734,0.035314910801193075,-0.0003305442541232939,-0.012893806789804263,0.003326054165385589,-0.02757405278755405,-0.007375954081345754,-0.006576075370957571,0.007886464615477227,-0.01699670928256744,-0.019872836897763792,-0.018584541047264626,-0.00931371003548797,-0.04863972057101388
LM_2303,-0.08231308775483992,0.01842602817879522,-0.012135559805444368,0.005110732978961405,0.0005477035768105872,0.0042670255633139725,0.003470062146942135,0.0007575399586656761,-0.005789591871575586,0.014561511574542996,-0.007348563179336562,-0.004542897171442149,-0.005817652781121424,-0.0016537529690896294,-0.04863972057101388
LM_2317,0.01682568292371639,0.025244470714267827,-0.019593773089319186,0.04538345831022335,-0.011913625688802923,0.03815358266687162,-0.010110115846479348,-0.01819210624545256,0.002963809812898399,0.02519390232375402,-0.0201030067482856,-0.01898759313915441,-0.014458034566822882,-0.025773696100342844,-0.04863972057101387
LM_2343,0.05882985444928994,-0.00892917615589099,0.0036512175243784972,0.02105631778181355,-0.030053408135113178,0.010606128057209882,-0.0036508095325414602,-0.021506633308085485,-0.018858975143067044,0.04266937557529207,-0.0022602086439590663,-0.000423199735401128,0.0014182068008961879,0.0019170117088620972,-0.048639720571013886
LM_2368,0.04561944079416223,0.03256606220738124,0.013597966397378938,0.01797984447466,0.030171107631467964,0.004483313306908827,0.004353330592078167,-0.011269626792729581,-0.01787862623147765,0.027406253660197014,-0.029250386359046525,-0.01126981059046223,-0.029577518855693395,0.004676411737965756,-0.048639720571013886
LM_2380,0.020951894771429884,-0.022076206932931865,-0.04232952712105324,0.011578022906990976,0.03894536060429005,0.016025875517364643,-0.01729459980118485,-0.011086297580210097,-0.016445041476642358,0.032001855576749415,0.0035773983184781005,-0.03550481728337315,-0.007392121152995132,-0.0024295252916124027,-0.048639720571013886
LM_2458,0.013951526905709992,-0.02769254230893327,-0.044933566687114575,-0.006088718522934328,-0.007973799942537068,0.038784683238261466,0.0005303061274239823,-0.03983641572292601,0.012950582734921098,0.016439829244665777,-0.022929711574423084,-0.01272631073943217,-0.016873478521903372,0.009651346169347014,-0.048639720571013866
LM_2463,0.03823133732428725,-0.0070174355407852055,-0.029717838324856166,0.05719618680496505,-0.0005792257491518166,-0.016503509648264608,0.005823182911775582,-0.031980925071512595,-0.012183014469326306,-0.007504156135453133,-0.010225901802171103,-0.0177483128871911,-0.0074972216256365826,-0.0009547056888822847,-0.04863972057101385
LM_2467,0.02590665719712664,-0.017201009338591054,0.02230557644372616,0.05809813686960061,0.023328999067918292,0.02543166700730468,-0.008444986607559171,-0.002428584178840898,0.029907372533385254,0.020396903431813322,-0.005274972278974319,-0.011395385933082581,-0.006770754056446185,0.007352269228416683,-0.04863972057101388
LM_2487,0.015515619025703727,-0.014606456076477821,0.01971522121168283,0.02859006678986395,0.013819041923912537,0.06428442846110732,0.0077761227131903365,-0.017721992091286165,-0.03280654230993983,0.001314166875775652,-0.004545175475298396,-0.011817074965569382,-0.008928440814417266,-0.00028721210593447843,-0.048639720571013866
LM_2508,0.005846104034016494,-0.015603854724547932,-0.02638404301654093,0.04340379843892152,0.011446763400500652,0.025145769783099143,-0.04033629800561525,-0.006696977620868655,-0.021064094539661404,0.016988995095572994,-0.039550915488647274,-0.007382721455551234,0.002471968794587942,0.005115847816340065,-0.04863972057101389
